alt_text,duration_ms,height,media_key,preview_image_url,public_metrics,type,url,width
,,820,3_1526985662930604032,,,photo,https://pbs.twimg.com/media/FTDxXsAX0AAjRAO.png,1427
,,631,3_1526966167314767874,,,photo,https://pbs.twimg.com/media/FTDfo5LWIAI_65s.jpg,918
,,662,3_1525087480730492934,,,photo,https://pbs.twimg.com/media/FSoy-8RWIAYo4SD.jpg,586
,,766,3_1525087483368710144,,,photo,https://pbs.twimg.com/media/FSoy_GGWIAA1wP0.jpg,642
,,963,3_1525046922385440768,,,photo,https://pbs.twimg.com/media/FSoOGIqWQAATrsE.png,1709
,,1257,3_1525132001510146049,,,photo,https://pbs.twimg.com/media/FSpbeZGXwAEHPvl.jpg,2796
,,1152,3_1523586755802316802,,,photo,https://pbs.twimg.com/media/FSTeFQQWQAIJPTp.jpg,2048
,,434,3_1522481866993020929,,,photo,https://pbs.twimg.com/media/FSDxMQsXsAE7RjF.jpg,301
,,1888,3_1522312897468289025,,,photo,https://pbs.twimg.com/media/FSBXg8KX0AEwIxc.jpg,1170
,,1080,3_1522138859634675713,,,photo,https://pbs.twimg.com/media/FR-5OmtX0AEz9IX.jpg,1440
,,1150,3_1522138859634667525,,,photo,https://pbs.twimg.com/media/FR-5OmtXsAUniuw.jpg,2048
"Im Hintergrund das Schweriner Schloss, davor Demonstrant:innen und von hinten sieht man Luisa Neubauer mit dem Aufdruck „stop the war“ auf der Jacke. Sie hält eine Rede. Vorne links im Bild ist ein Schlagzeug auf der Bühne.",,2046,3_1520105417933795329,,,photo,https://pbs.twimg.com/media/FRh_0uEXMAEvZMD.jpg,2048
"Vorne ein weißes Demobanner mit dem Slogan „Exit Gas, Solidariät heißt Gas-Embargo“ mit den Logos von FFF links und rechts. Dahinter Demonstrieren Menschen in der Sonne.",,1152,3_1520105418017718275,,,photo,https://pbs.twimg.com/media/FRh_0uYXwAMrbyq.jpg,2048
,,800,3_1518945786519769095,,,photo,https://pbs.twimg.com/media/FRRhJSaWUAcP6Gh.jpg,1200
"Im Vordergrund sieht man Luisa Neubauer mit einem Schild, darauf steht geschrieben es ist doch
Nicht so schwer.
zu verstehen
#lützerathbleibt. 

Im Hintergrund sieht man das Kohle Abbau Gebiet und ganz hinten ein paar Windräder.",,1226,3_1517992093402255360,,,photo,https://pbs.twimg.com/media/FRD9xCsX0AATBp0.jpg,1668
,,1536,3_1517908546880475136,,,photo,https://pbs.twimg.com/media/FRCxx_pXEAASE44.jpg,2048
,,1536,3_1517908546842681346,,,photo,https://pbs.twimg.com/media/FRCxx_gWYAI8KtQ.jpg,2048
,,479,3_1517908546876289029,,,photo,https://pbs.twimg.com/media/FRCxx_oXMAUvZHW.jpg,852
,,1275,3_1517493647046057985,,,photo,https://pbs.twimg.com/media/FQ84bpUXoAE8d6m.jpg,1275
,,1536,3_1517147670183247872,,,photo,https://pbs.twimg.com/media/FQ39xJEVgAAYk23.jpg,2048
,,466,3_1516347980906967041,,,photo,https://pbs.twimg.com/media/FQsmdGXXMAE4gJc.jpg,828
,,1536,3_1516028757081047041,,,photo,https://pbs.twimg.com/media/FQoEH08XwAEoN_K.jpg,2048
,106160.0,1080,13_1513411623624585222,https://pbs.twimg.com/media/FQC362bWQAMC8rF.jpg,{'view_count': 5059833},video,,1920
"Eine Gruppe von Schüler*innen, die Demoschilder malen.",,1600,3_1513502633344053251,,,photo,https://pbs.twimg.com/media/FQEKoEsXMAMMo2I.jpg,1600
,,675,3_1509796199146131458,,,photo,https://pbs.twimg.com/media/FPPfpNVXEAIIXi3.jpg,1200
,,1185,3_1508835945281474570,,,photo,https://pbs.twimg.com/media/FPB2TE7X0AoS5df.jpg,1177
,,3024,3_1508795943470223366,,,photo,https://pbs.twimg.com/media/FPBR6qkX0AYvC6V.jpg,4032
,,1116,3_1507711364592242693,,,photo,https://pbs.twimg.com/media/FOx3f3ZXEAUauyV.jpg,1170
,,814,3_1507682095732334593,,,photo,https://pbs.twimg.com/media/FOxc4MZXoAEY6FR.jpg,1448
,,862,3_1507336828508155904,,,photo,https://pbs.twimg.com/media/FOsi2_wXsAAauDu.jpg,1280
,,818,3_1506993807421812749,,,photo,https://pbs.twimg.com/media/FOnq4ioXMA08-0G.jpg,828
,,2048,3_1506989153136918543,,,photo,https://pbs.twimg.com/media/FOnmpoEXwA8o01E.jpg,1536
,,2048,3_1506989153153658893,,,photo,https://pbs.twimg.com/media/FOnmpoIXMA0KmLr.jpg,1536
,,2048,3_1506989153174568970,,,photo,https://pbs.twimg.com/media/FOnmpoNWQAo0DM9.jpg,1536
,,2048,3_1506989153203937284,,,photo,https://pbs.twimg.com/media/FOnmpoUWYAQp88p.jpg,1536
,,1080,3_1505792148343758848,,,photo,https://pbs.twimg.com/media/FOWl-xuaIAAlGfc.jpg,1080
,,622,3_1503728732409839616,,,photo,https://pbs.twimg.com/media/FN5RUKXWQAA4Zxb.jpg,1791
,,706,3_1500142435187445763,,,photo,https://pbs.twimg.com/media/FNGTmMHWUAMkoGf.jpg,1435
,,2016,3_1500048075682893828,,,photo,https://pbs.twimg.com/media/FNE9xvkWUAQSPdW.jpg,1512
,,720,3_1499387992988868620,,,photo,https://pbs.twimg.com/media/FM7lb36WYAwIhWw.jpg,1279
,,609,3_1498995196964614147,,,photo,https://pbs.twimg.com/media/FM2AMIsXsAMiB9m.jpg,1170
,,235,3_1498899812313354240,,,photo,https://pbs.twimg.com/media/FM0pcBLWUAATzih.jpg,696
,,1364,3_1498007420332818437,,,photo,https://pbs.twimg.com/media/FMn9z9_WQAUOF2A.jpg,2048
,,1080,3_1497897117377089537,,,photo,https://pbs.twimg.com/media/FMmZffdX0AEXLUD.jpg,1080
,,540,3_1497511051776118791,,,photo,https://pbs.twimg.com/media/FMg6XhBWUAcS7sg.jpg,960
,,662,3_1496094888026423299,,,photo,https://pbs.twimg.com/media/FMMyX78XwAMri1w.jpg,1176
,,620,3_1495348900307386374,,,photo,https://pbs.twimg.com/media/FMCL5vIXwAYuKNB.jpg,629
,,2048,3_1494679154662518795,,,photo,https://pbs.twimg.com/media/FL4qxaLXMAsUBDh.jpg,2048
,,783,3_1494628464477016069,,,photo,https://pbs.twimg.com/media/FL38q2hXEAU83mq.jpg,1391
,,362,3_1492466244850798592,,,photo,https://pbs.twimg.com/media/FLZOJGuX0AAlzBH.jpg,490
,,538,3_1491693237165305856,,,photo,https://pbs.twimg.com/media/FLOPGIsXMAAU1aM.jpg,1577
,,1536,3_1491775989902364678,,,photo,https://pbs.twimg.com/media/FLPaW-qWUAYj7ve.jpg,2048
,,972,3_1490713995837427726,,,photo,https://pbs.twimg.com/media/FLAUeyeX0A43vdJ.jpg,750
,,1280,3_1486700731877007362,,,photo,https://pbs.twimg.com/media/FKHScFLXoAI5JRV.jpg,1280
"Bild von Ministerpräsident Wüst, Bildunterschrift: plädiert für respektvollen Umgang mit dem angekündigten Beschluss.",,876,3_1484953581602103304,,,photo,https://pbs.twimg.com/media/FJudajNWYAgtOZh.jpg,1080
,,853,3_1482399991507337219,,,photo,https://pbs.twimg.com/media/FJKK8CzWQAMMHnP.jpg,1280
,,1152,3_1479808895958892556,,,photo,https://pbs.twimg.com/media/FIlWWbsXwAw9V0G.jpg,2048
,,1279,3_1479405806080737280,,,photo,https://pbs.twimg.com/media/FIfnvg4XwAAeSOT.jpg,1280
,,1263,3_1478744841785942021,,,photo,https://pbs.twimg.com/media/FIWOmVAXoAULxCS.jpg,1124
,,622,3_1477929534162968576,,,photo,https://pbs.twimg.com/media/FIKpFLbXoAA0VKN.jpg,1107
,,1276,3_1475817172857507845,,,photo,https://pbs.twimg.com/media/FHsn5kWX0AU1IxB.jpg,2268
,,1536,3_1471786234024443905,,,photo,https://pbs.twimg.com/media/FGzVyDBWQAEPXeb.jpg,2048
,,854,3_1471786233898704899,,,photo,https://pbs.twimg.com/media/FGzVyCjXoAMSK22.jpg,1280
,,708,3_1470720689518882816,,,photo,https://pbs.twimg.com/media/FGkMrMaXMAAAL4O.jpg,1259
,,2048,3_1469278561362132993,,,photo,https://pbs.twimg.com/media/FGPtESYWQAELy1L.jpg,1536
,,650,3_1469278561324441605,,,photo,https://pbs.twimg.com/media/FGPtESPXIAUljAc.jpg,828
,,752,3_1469278561345409030,,,photo,https://pbs.twimg.com/media/FGPtESUXEAYK3Zt.jpg,828
,,1536,3_1467121540940677121,,,photo,https://pbs.twimg.com/media/FFxDRLIXwAENkd5.jpg,2048
,,1536,3_1467121540915503105,,,photo,https://pbs.twimg.com/media/FFxDRLCXoAEMhGL.jpg,2048
Im Stil der Spotify Wrapped: Eure Klimapolitik 2021,,2048,3_1466448836935790600,,,photo,https://pbs.twimg.com/media/FFnfcpbXsAgc32D.jpg,2048
"2021 habt ihr nicht im Ansatz das getan was ihr tun musstet. Noch ein Koalitionsvertrag ohne 1,5 Grad? Geht echt nicht klar, Leute.",,2048,3_1466448842589618176,,,photo,https://pbs.twimg.com/media/FFnfc-fWQAAKrT0.jpg,2048
"Ihr hattet 526600 Minuten. Und immernoch 0% der Maßnahmen für 1,5 Grad umgesetzt.",,2048,3_1466448847497015296,,,photo,https://pbs.twimg.com/media/FFnfdQxXMAAF0bk.jpg,2048
Eure Top Versäumnisse: 1. CO2 Budget 2. Nettonull bis 2035 3. Ende fossiler Subventionen 4. unzureichender CO2 Preis,,2048,3_1466448852643426309,,,photo,https://pbs.twimg.com/media/FFnfdj8XMAUyABl.jpg,2048
,,1536,3_1466060242333192198,,,photo,https://pbs.twimg.com/media/FFh-BduX0AYzSsu.jpg,2048
#kaengurucomics,,1484,3_1466006559251644418,,,photo,https://pbs.twimg.com/media/FFhNMsqWQAIl4yX.jpg,4096
,,1367,3_1464921846533480458,,,photo,https://pbs.twimg.com/media/FFRyqG5WYAo42Mn.jpg,2048
,,668,3_1464921889881657344,,,photo,https://pbs.twimg.com/media/FFRysoYXEAA-b3s.jpg,1000
,,2000,3_1464921951894388737,,,photo,https://pbs.twimg.com/media/FFRywPZWQAEEP6r.jpg,1333
,,668,3_1464922018609049605,,,photo,https://pbs.twimg.com/media/FFRy0H7XMAUdPeV.jpg,1000
,,1090,3_1464886619471765505,,,photo,https://pbs.twimg.com/media/FFRSnn3WYAEQedU.jpg,1090
,,1014,3_1464886648546766854,,,photo,https://pbs.twimg.com/media/FFRSpULXsAYNYJD.jpg,1014
,,1472,3_1464285434448601089,,,photo,https://pbs.twimg.com/media/FFIv2DIWYAEX17Z.jpg,828
,,569,3_1462804009425768457,,,photo,https://pbs.twimg.com/media/FEzsfw3XEAkE8vq.jpg,815
,,720,3_1456528945101246466,,,photo,https://pbs.twimg.com/media/FDahW8nVkAIROKC.jpg,1080
,,720,3_1456528996036866059,,,photo,https://pbs.twimg.com/media/FDahZ6XVcAswIuI.jpg,1080
,,854,3_1458437810709479427,,,photo,https://pbs.twimg.com/media/FD1pdjJWQAMw-cL.jpg,1280
,,1280,3_1458437810776641548,,,photo,https://pbs.twimg.com/media/FD1pdjZXEAwvww_.jpg,935
,,1280,3_1458437810789175298,,,photo,https://pbs.twimg.com/media/FD1pdjcWUAIW7LA.jpg,855
,,605,3_1458099154710843404,,,photo,https://pbs.twimg.com/media/FDw1dLPWUAwJVF4.jpg,828
,,1446,3_1455599721494499330,,,photo,https://pbs.twimg.com/media/FDNUPA7WUAIv6y6.jpg,2048
,,2048,3_1455517637878890496,,,photo,https://pbs.twimg.com/media/FDMJlHoWQAAVGSu.jpg,1780
,,342,3_1455231441302851593,,,photo,https://pbs.twimg.com/media/FDIFSSTWEAk63cb.jpg,808
,,1456,3_1454839537516130304,,,photo,https://pbs.twimg.com/media/FDCg2e7XsAAV_j_.jpg,2048
,,1481,3_1454815723197456387,,,photo,https://pbs.twimg.com/media/FDCLMTrWYAMue8j.jpg,2048
Hunderte Menschen demonstrieren für den Klimaschutz,,1139,3_1451598001844408320,,,photo,https://pbs.twimg.com/media/FCUcsRiaUAATIoB.jpg,1068
,,3024,3_1451504532660314112,,,photo,https://pbs.twimg.com/media/FCTHrpsWYAADaMj.jpg,4032
,,1280,3_1451587661521723426,,,photo,https://pbs.twimg.com/media/FCUTSY1XoCI6fDD.jpg,640
,,1536,3_1451539700892766211,,,photo,https://pbs.twimg.com/media/FCTnqtkXEAMjzu8.jpg,2048
,,1185,3_1451509229530107904,,,photo,https://pbs.twimg.com/media/FCTL9C5X0AAoy75.jpg,2048
,,1536,3_1451164760993632261,,,photo,https://pbs.twimg.com/media/FCOSqVmXEAU3nrH.jpg,2048
,,548,3_1447665970005348352,,,photo,https://pbs.twimg.com/media/FBckh5eXEAAuXUR.jpg,623
,,1280,3_1447157987215355909,,,photo,https://pbs.twimg.com/media/FBVWhaHXMAUj67D.jpg,853
,,1534,3_1446458292188897282,,,photo,https://pbs.twimg.com/media/FBLaJzBWYAIMU9Q.jpg,2048
#kaengurucomics #zeitonline,,1484,3_1446028469834485760,,,photo,https://pbs.twimg.com/media/FBFTO1-WEAAlaPc.jpg,4096
,,366,16_1445851431458807808,https://pbs.twimg.com/tweet_video_thumb/FBCyN2oXoAAvQId.jpg,,animated_gif,,480
,,567,3_1442895502287138817,,,photo,https://pbs.twimg.com/media/FAYx0IXVcAEbgnv.jpg,1896
,,2047,3_1442063969406046210,,,photo,https://pbs.twimg.com/media/FAM9ii_WUAIBN6T.jpg,1662
,,960,3_1441833673511243779,,,photo,https://pbs.twimg.com/media/FAJsFj7VkAMNaEv.jpg,1280
,,853,3_1441833673586876416,,,photo,https://pbs.twimg.com/media/FAJsFkNXoAAtNap.jpg,1280
,,2048,3_1441351471593766912,,,photo,https://pbs.twimg.com/media/FAC1htzVQAAETLg.jpg,923
,,314,3_1441355495520956426,,,photo,https://pbs.twimg.com/media/FAC5L8GVcAo3ij7.jpg,598
,,800,3_1441517942114590723,,,photo,https://pbs.twimg.com/media/FAFM7k0XoAM5Etr.jpg,1200
,,799,3_1441517991087071240,,,photo,https://pbs.twimg.com/media/FAFM-bQUYAgz7pR.jpg,1200
,,788,3_1441518951733809152,,,photo,https://pbs.twimg.com/media/FAFN2V8WUAAGPJz.jpg,788
,,800,3_1441518835480158214,,,photo,https://pbs.twimg.com/media/FAFNvk3UYAY7W12.jpg,1200
,,1012,3_1441403239438688258,,,photo,https://pbs.twimg.com/media/FADknADXIAIO1xj.jpg,2048
,,768,3_1441283253143588866,,,photo,https://pbs.twimg.com/media/FAB3e4RX0AIvuOk.jpg,1024
,,960,3_1441283253235634177,,,photo,https://pbs.twimg.com/media/FAB3e4nUUAEZSez.jpg,1280
,,960,3_1441283253097357316,,,photo,https://pbs.twimg.com/media/FAB3e4GWYAQNUFx.jpg,1280
,,1191,3_1441052994590724098,,,photo,https://pbs.twimg.com/media/E_-mEEUX0AIPmBg.jpg,828
,,198,3_1439870902058037250,,,photo,https://pbs.twimg.com/media/E_ty9OeXMAIENpK.jpg,646
,,2288,3_1437788977159884808,,,photo,https://pbs.twimg.com/media/E_QNdP2WUAg82-_.jpg,4096
,,474,3_1437135056611516418,,,photo,https://pbs.twimg.com/media/E_G6uD-XIAIjwFw.jpg,628
,,1378,3_1436748351358255106,,,photo,https://pbs.twimg.com/media/E_BbA2pWQAIcUJr.jpg,2864
,,1276,3_1435523543849218049,,,photo,https://pbs.twimg.com/media/E-wBDrHXsAEMSuF.jpg,1448
,,1024,3_1434577422104600577,,,photo,https://pbs.twimg.com/media/E-ikkI9XIAEbcEE.jpg,1024
,,559,3_1433756296042459136,,,photo,https://pbs.twimg.com/media/E-W5wUAXMAAEpqf.jpg,713
,,1536,3_1428701540819390468,,,photo,https://pbs.twimg.com/media/E9PEe1aX0AQUSfS.jpg,2048
,17208.0,2048,13_1426959606367019008,https://pbs.twimg.com/media/E82UWhMXoAAUe9q.jpg,{'view_count': 8454},video,,4096
,,361,3_1427965807393390598,,,photo,https://pbs.twimg.com/media/E9EnVg0WQAYXIZd.jpg,1017
,,988,3_1424067386202894341,,,photo,https://pbs.twimg.com/media/E8NNviLXsAU0MDJ.jpg,748
,,1053,3_1421456160302018566,,,photo,https://pbs.twimg.com/media/E7oG2LqXsAY3zvI.jpg,1576
,,1080,3_1421456169101574146,,,photo,https://pbs.twimg.com/media/E7oG2scWQAIv2hf.jpg,1616
,,340,3_1421009617363025920,,,photo,https://pbs.twimg.com/media/E7hwt9lWQAAPqy6.jpg,680
,,1346,3_1418166361721819139,,,photo,https://pbs.twimg.com/media/E65Wys7WUAMtTKs.jpg,2048
,,1536,3_1415981663952195585,,,photo,https://pbs.twimg.com/media/E6aT0jhWUAEKoZX.jpg,2048
