country,country_code,full_name,id,name,place_type,type,coordinates
Deutschland,DE,"Berlin, Deutschland",3078869807f9dd36,Berlin,city,Feature,13.088304|52.338079|13.760909|52.675323
Deutschland,DE,"Hamburg, Deutschland",5bcd72da50f0ee77,Hamburg,city,Feature,8.4201604|53.395118|10.325199|53.9646546
Deutschland,DE,Brandenburger Tor,07d9daff8dc87002,Brandenburger Tor,poi,Feature,13.377785682678223|52.516246979489246|13.377785682678223|52.516246979489246
Schweden,SE,"Alvesta, Sverige",88bfaefa4b6ce53a,Alvesta,city,Feature,14.2779478|56.5341274|14.6821408|57.1633434
Schweden,SE,"Linköping, Sverige",105ec6092daa0aee,Linköping,city,Feature,15.2557333|58.0629233|16.0754215|58.6521074
Schweden,SE,"Stockholm, Schweden",d56c5babcffde8ef,Stockholm,city,Feature,17.7601322|59.2271383|18.1999856|59.4402037
Vereinigtes Königreich,GB,"Scotland, United Kingdom",0af014accd6f6e99,Scotland,admin,Feature,-7.66085699743185|54.6336309570711|-0.740025000483186|60.8452769694519
Vereinigtes Königreich,GB,"Glasgow, Scotland",791e00bcadc4615f,Glasgow,city,Feature,-4.3932845|55.796184|-4.0902182|55.9204214
Deutschland,DE,"Berlin, Deutschland",3078869807f9dd36,Berlin,city,Feature,13.088304|52.338079|13.760909|52.675323
Deutschland,DE,"Nordrhein-Westfalen, Deutschland",1ce1caa594aa7361,Nordrhein-Westfalen,admin,Feature,5.8663566|50.322572|9.461595|52.531417
Deutschland,DE,"Düsseldorf, Deutschland",b7d3c12268abd20e,Düsseldorf,city,Feature,6.688728|51.124357|6.939888|51.352537
Deutschland,DE,"Grafhorst, Deutschland",1428110283105f61,Grafhorst,city,Feature,10.903003|52.422896|10.981003|52.471638
Deutschland,DE,"Berlin, Deutschland",3078869807f9dd36,Berlin,city,Feature,13.088304|52.338079|13.760909|52.675323
Deutschland,DE,"Hamburg, Deutschland",5bcd72da50f0ee77,Hamburg,city,Feature,8.4201604|53.395118|10.325199|53.9646546
Deutschland,DE,"Düsseldorf, Deutschland",b7d3c12268abd20e,Düsseldorf,city,Feature,6.688728|51.124357|6.939888|51.352537
Deutschland,DE,"Datteln, Deutschland",3fa18b684ca49861,Datteln,city,Feature,7.239943|51.61374|7.4217211|51.720674
Deutschland,DE,"Heringsdorf, Deutschland",5d75e9041e0c4e74,Heringsdorf,city,Feature,14.078248|53.915245|14.226263|53.993731
Schweden,SE,"Stockholm, Schweden",d56c5babcffde8ef,Stockholm,city,Feature,17.7601322|59.2271383|18.1999856|59.4402037
Schweden,SE,Mynttorget,07d9c9c71d080001,Mynttorget,poi,Feature,18.068546554388938|59.326869368500624|18.068546554388938|59.326869368500624
Deutschland,DE,"Frankfurt am Main, Deutschland",c589d9d6ed38927c,Frankfurt am Main,city,Feature,8.472715|50.01552|8.800496|50.2269512
Deutschland,DE,"Plattenburg, Deutschland",949cc46c86bc3ac0,Plattenburg,city,Feature,11.883112|52.875614|12.209711|53.082397
Schweiz,CH,"Zürich, Schweiz",3acb748d0f1e9265,Zürich,city,Feature,8.448081|47.3202171|8.625442|47.434721
Deutschland,DE,"Hockenheim, Deutschland",b376625558c84057,Hockenheim,city,Feature,8.455769|49.30186|8.604042|49.359221
Deutschland,DE,"Berlin, Deutschland",3078869807f9dd36,Berlin,city,Feature,13.088304|52.338079|13.760909|52.675323
Deutschland,DE,"Halle (Saale), Deutschland",699e7e72554fee2a,Halle (Saale),city,Feature,11.856151|51.402855|12.088802|51.543503
