Index,Row Name,images-2.jpeg,test_img.jpg
0,FilePath,data/vision_input/images-2.jpeg,data/vision_input/test_img.jpg
1,FileName,images-2.jpeg,test_img.jpg
2,Label_1,Dog (96.29%),Forehead (98.47%)
3,Label_2,Plant (95.04%),Smile (98.21%)
4,Label_3,Dog breed (90.05%),Cheek (97.9%)
5,Label_4,Carnivore (89.59%),Sleeve (85.43%)
6,Label_5,Companion dog (81.98%),Collar (81.93%)
7,Label_6,Grass (79.03%),Spokesperson (79.33%)
8,Label_7,Happy (76.68%),Happy (77.44%)
9,Label_8,Snout (73.08%),Event (73.34%)
10,Label_9,Sporting Group (72.02%),Technology (73.32%)
11,Label_10,Retriever (69.64%),White-collar worker (72.71%)
