id,author_id,created_at,geo,retweet_count,reply_count,like_count,qoute_count,text,entities,context_annotations
1526540001995022337,1072187272815149057,2022-05-17 12:27:52+00:00,,17,10,158,1,"Spread Love, not CO2! 🏳️‍🌈
#IDAHOBIT2022 #YesToQueer","{'hashtags': [{'start': 27, 'end': 40, 'tag': 'IDAHOBIT2022'}, {'start': 41, 'end': 52, 'tag': 'YesToQueer'}]}",[]
1526536363755151360,1072187272815149057,2022-05-17 12:13:25+00:00,,16,10,175,1,"Quote of the day: Queer denken statt Querdenken!
#YesToQueer #IDAHOBIT2022","{'hashtags': [{'start': 49, 'end': 60, 'tag': 'YesToQueer'}, {'start': 61, 'end': 74, 'tag': 'IDAHOBIT2022'}]}",[]
1526534237972746242,1072187272815149057,2022-05-17 12:04:58+00:00,,21,62,274,8,"Was bedeutet queer?

Queer ist eine positive Selbstbezeichnung von Personen, die in Bezug auf ihre sexuelle Orientierung oder ihre Geschlechtsidentität nicht der gesellschaftlichen Norm entsprechen. Queer ist bunt, vielfältig und powerful! ✊🏳️‍🌈 #YesToQueer #IDAHOBIT2022","{'hashtags': [{'start': 246, 'end': 257, 'tag': 'YesToQueer'}, {'start': 258, 'end': 271, 'tag': 'IDAHOBIT2022'}]}",[]
1526533216907182081,1072187272815149057,2022-05-17 12:00:55+00:00,,16,16,151,1,"Heute ist der internationale Tag gegen Homo-, Bi-, Inter-, und Transfeindlichkeit. Noch immer werden queere Menschen in Deutschland und überall auf der Welt benachteiligt und angegriffen. Jede Form der Diskriminierung hat bei uns keinen Platz! #IDAHOBIT2022 🏳️‍🌈","{'hashtags': [{'start': 244, 'end': 257, 'tag': 'IDAHOBIT2022'}]}",[]
1526481722686291971,1072187272815149057,2022-05-17 08:36:18+00:00,,65,37,490,3,"Heute ist der internationale Tag gegen Homo-, Bi-, Inter- und Transphobie. Ziel des Tages ist es, auf Queerfeindlichkeit aufmerksam zu machen und eine Plattform für Betroffene zu schaffen. Auf Twitter posten wir dazu ab 14 Uhr unter den Hashtags #YesToQueer und #IDAHOBIT2022","{'hashtags': [{'start': 246, 'end': 257, 'tag': 'YesToQueer'}, {'start': 262, 'end': 275, 'tag': 'IDAHOBIT2022'}]}","[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}]"
1526263543687004166,1072187272815149057,2022-05-16 18:09:20+00:00,,41,10,124,0,"Heute ist die #PublicClimateSchool gestartet. Zusammen mit Expert:innen bringen Students for Future Gruppen aus ganz Deutschland damit eine Woche lang Klimabildung in Schule, Uni und Gesellschaft.

Hier kommt ihr zum Livestream: https://t.co/jwxRTU3vd3 https://t.co/Lll5fSKBYu","{'hashtags': [{'start': 14, 'end': 34, 'tag': 'PublicClimateSchool'}], 'urls': [{'start': 229, 'end': 252, 'url': 'https://t.co/jwxRTU3vd3', 'expanded_url': 'http://fffutu.re/pcsYT', 'display_url': 'fffutu.re/pcsYT', 'images': [{'url': 'https://pbs.twimg.com/news_img/1526804793620017152/HS7FNH-P?format=jpg&name=orig', 'width': 900, 'height': 900}, {'url': 'https://pbs.twimg.com/news_img/1526804793620017152/HS7FNH-P?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Students For Future DE', 'description': 'Das ist der offizielle YouTube Kanal von Students For Future Deutschland! Wir sind Studierende, die für mehr Klimaschutz streiken. Wir sind damit Teil der weltweiten Bewegung Fridays for Future. Der Klimawandel ist längst eine reale Bedrohung für unsere Zukunft. Wir werden die Leidtragenden des Klimawandels sein. Gleichzeitig sind wir die letzte Generation, die einen katastrophalen Klimawandel noch verhindern kann. Doch unsere Politiker*innen unternehmen nichts, um die Klimakrise abzuwenden. Die Treibhausgas-Emissionen steigen seit Jahren, noch immer werden Kohle, Öl und Gas abgebaut. Deswegen gehen wir freitags weder in die Schule noch in die Uni. Denn mit jedem Tag, der ungenutzt verstreicht, setzt ihr unsere Zukunft aufs Spiel! “Why should I be studying for a future that soon may be no more, when no one is doing anything to save that future?” -Greta Thunberg, 16-jährige Klima-Aktivistin im Streik', 'unwound_url': 'https://www.youtube.com/channel/UC9GwQ_SGeq7Nrn4NQfwVoRA'}, {'start': 253, 'end': 276, 'url': 'https://t.co/Lll5fSKBYu', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1526263543687004166/photo/1', 'display_url': 'pic.twitter.com/Lll5fSKBYu', 'media_key': '3_1526263541426184192'}]}",[]
1526107563930095617,1072187272815149057,2022-05-16 07:49:31+00:00,,186,24,695,5,"BASF hat Deutschlands Erdgas-Abhängigkeit maßgeblich mit aufgebaut und warnt jetzt am lautesten gegen einen Importstopp.

Ökonom:innen entlarven die ausgedachten Zahlen des Konzerns derweil als Panikmache. Fakt ist aber: Mit dem Import von russischem Gas macht BASF massiv Profit. https://t.co/B3YkdSjyxz","{'urls': [{'start': 281, 'end': 304, 'url': 'https://t.co/B3YkdSjyxz', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1526107563930095617/video/1', 'display_url': 'pic.twitter.com/B3YkdSjyxz', 'media_key': '7_1526107437966704642'}]}",[]
1525841343280517120,1072187272815149057,2022-05-15 14:11:39+00:00,,62,51,388,9,"Heute ist Landtagswahl in Nordrhein-Westfalen. Doch egal, welche Partei die meisten Stimmen bekommt: Klimagerechtigkeit wird auf der Straße erkämpft! Für einen sozialökologischen #NRWandel ohne Dominanz von fossilen Interessen gehen wir am 21.05. auf die Straße.
#ltwnrw22","{'hashtags': [{'start': 179, 'end': 188, 'tag': 'NRWandel'}, {'start': 263, 'end': 272, 'tag': 'ltwnrw22'}]}",[]
1525747905428062209,1072187272815149057,2022-05-15 08:00:22+00:00,,141,101,1252,4,"Hey @Wissing, wie wäre es, endlich ein Tempolimit einzuführen, statt über zu viele Bilder von Essen zu meckern? Sogar die UMK hat's verstanden:
https://t.co/CPyt4j4GlG","{'mentions': [{'start': 4, 'end': 12, 'username': 'Wissing', 'id': '20593301'}], 'urls': [{'start': 144, 'end': 167, 'url': 'https://t.co/CPyt4j4GlG', 'expanded_url': 'https://www.spiegel.de/auto/tempolimit-umweltministerkonferenz-ist-dafuer-und-fordert-verbot-von-biosprit-aus-agrarflaechen-a-098bde7b-606b-4a7f-ba30-818c2e0eacac#ref=rss', 'display_url': 'spiegel.de/auto/tempolimi…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1525089695427854336/Qm9-zx7e?format=jpg&name=orig', 'width': 1280, 'height': 723}, {'url': 'https://pbs.twimg.com/news_img/1525089695427854336/Qm9-zx7e?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Tempolimit als Sofortmaßnahme: Umweltministerkonferenz fordert Verbot von Biosprit aus Agrarflächen', 'description': 'Die Umweltministerkonferenz hat sich überraschend für ein befristetes Tempolimit auf Autobahnen ausgesprochen. Die Maßnahme soll den Ölverbrauch senken und Biosprit ersetzen. Der Druck auf die Ampelkoalition im Bund wächst.', 'unwound_url': 'https://www.spiegel.de/auto/tempolimit-umweltministerkonferenz-ist-dafuer-und-fordert-verbot-von-biosprit-aus-agrarflaechen-a-098bde7b-606b-4a7f-ba30-818c2e0eacac#ref=rss'}]}",[]
1525152961600663552,1072187272815149057,2022-05-13 16:36:16+00:00,,44,10,352,1,Wissing be like https://t.co/lFnIiunNS2 https://t.co/Vnvh4130h2,"{'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/lFnIiunNS2', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1525152961600663552/photo/1', 'display_url': 'pic.twitter.com/lFnIiunNS2', 'media_key': '3_1525152958069059585'}, {'start': 40, 'end': 63, 'url': 'https://t.co/Vnvh4130h2', 'expanded_url': 'https://twitter.com/ZDFnrw/status/1524352825756639233', 'display_url': 'twitter.com/ZDFnrw/status/…'}]}",[]
